0.364846	1.76557	0.230077

2.11106	2.24482	0.246621

2.09195	0.408182	0.256942

0.209276	0.768174	0.268354

1.89374	1.31824	0.190581

1.21122	1.88881	0.121982

3.42797	2.05779	0.238872

3.57467	2.7212	0.0743741

2.78722	2.97399	0.167088

2.62984	0.788377	0.218482

3.49201	2.45272	0.187475

1.12228	3.31604	0.181853

2.09203	4	0.22276

1.12404	0.553889	0.204131

3.89948	3.42326	0.22821

0.78653	0.499563	0.25807

0.148926	2.53441	0.229773

2.90686	3.81146	0.142559

3.26277	2.39266	0.117778

0.437347	1.88515	0.14629

0.632213	0.965122	0.261635

0.0707513	0.53242	0.174264

2.92647	4	0.194978

1.03722	2.81594	0.154238

1.69108	1.60885	0.232661

0.928274	0	0.136894

1.39609	0	0.148922

1.85254	3.46335	0.298179

2.53313	2.79739	0.241203

2.17419	2.13757	0.197827

1.54148	0.874444	0.193732

2.71551	3.44232	0.289929

2.57169	2.78296	0.249454

3.1292	2.27251	0.152994

0.0616828	0.909319	0.217089

3.58305	3.14782	0.155662

2.05739	3.0849	0.127085

3.68135	1.12485	0.186827

0.871058	1.31735	0.202191

0.8967	2.20801	0.110806

