0.989	2.920	0.200
1.905	3.026	0.200
2.890	3.512	0.200
0.482	3.421	0.200
2.417	2.574	0.200
2.382	0.241	0.200
1.007	1.613	0.200
0.224	3.955	0.200
3.140	0.768	0.200
0.112	0.385	0.200
1.065	0.503	0.200
1.374	0.067	0.200
3.467	3.185	0.200
3.001	2.980	0.200
1.553	3.598	0.200
0.311	1.124	0.200
0.361	2.739	0.200
0.011	3.037	0.200
1.427	2.753	0.200
3.779	2.139	0.200
2.125	2.010	0.200
1.657	2.153	0.200
3.957	0.156	0.200
1.298	1.010	0.200
2.732	1.839	0.200
0.094	1.919	0.200
0.888	3.517	0.200
0.722	0.200	0.200
1.783	1.038	0.200
2.110	0.676	0.200
3.390	1.309	0.200
3.813	2.904	0.200
0.615	0.819	0.200
2.413	3.471	0.200
2.916	0.342	0.200
3.238	2.580	0.200
0.829	2.472	0.200
3.260	0.042	0.200
3.410	3.748	0.200
