   2.960379       3.112333    	.2
   2.834562      0.4998016    	.2
  0.2937088      0.3834534    	.2
   3.416908       3.993908    	.2
   1.318642       2.437887    	.2
   1.879791       1.682865    	.2
   3.937979       1.613014    	.2
  0.1286106       1.585430    	.2
  0.7069130       1.098753    	.2
   2.771351       2.109430    	.2
  0.4486027       3.675360    	.2
   1.524656      0.9179401    	.2
   3.833866       3.806774    	.2
   3.209658      0.7484932    	.2
   1.839302       1.173861    	.2
   1.081001      0.4087410    	.2
   2.720526       3.882952    	.2
   1.000246       3.137808    	.2
   3.758974       1.077469    	.2
   2.972097      4.2568207E-02	.2
   3.234583       3.636938    	.2
   1.296810       3.515471    	.2
   1.470509       2.850067    	.2
   2.504404       3.531116    	.2
   3.035946       1.164330    	.2
  6.5811157E-02   2.094349    	.2
   3.736568      0.5100212    	.2
   2.098814       2.796864    	.2
   3.453436       1.905645    	.2
   3.325417       2.291227    	.2
  0.8579502       3.577679    	.2
  0.2334232       3.154703    	.2
   3.023182       2.620195    	.2
   1.777071       3.253614    	.2
   3.819555       3.290865    	.2
   1.059645       1.464964    	.2
   1.491880       2.039280    	.2
  0.8745556       2.682096    	.2
