2.045	0.066	0.261
0.059	3.626	0.219
2.879	1.803	0.190
3.094	3.789	0.132
1.726	2.898	0.157
0.749	3.185	0.181
2.909	1.252	0.190
1.221	1.350	0.304
3.637	3.456	0.257
0.524	2.302	0.233
2.935	3.232	0.108
0.896	0.747	0.205
3.232	1.507	0.222
3.724	1.890	0.154
1.347	3.960	0.232
2.693	2.933	0.169
1.857	3.544	0.240
2.379	3.901	0.251
3.544	0.233	0.161
0.920	2.129	0.197
2.286	0.877	0.219
0.617	1.484	0.146
1.111	0.222	0.247
1.820	2.323	0.192
0.127	0.458	0.277
3.492	0.521	0.115
3.476	2.729	0.271
3.865	2.153	0.130
1.066	2.992	0.172
0.920	2.629	0.186
1.719	1.498	0.205
0.338	1.246	0.152
2.399	2.196	0.194
0.040	2.513	0.221
2.193	1.724	0.191
2.702	0.421	0.193
2.245	3.453	0.148
