0.942	0.250	0.260
0.073	0.259	0.144
3.909	3.747	0.194
1.130	3.685	0.250
1.533	2.332	0.241
3.734	1.164	0.190
0.287	2.548	0.145
2.764	3.691	0.298
2.493	1.289	0.292
0.827	1.934	0.205
0.666	1.518	0.217
2.371	3.221	0.177
0.213	3.951	0.110
0.641	2.303	0.155
1.928	0.331	0.178
2.218	2.394	0.281
1.944	1.000	0.221
3.409	3.271	0.223
0.957	1.110	0.266
3.356	0.939	0.235
3.187	2.634	0.190
3.044	1.196	0.158
2.272	1.846	0.262
1.798	1.611	0.209
3.990	3.186	0.147
3.713	0.483	0.226
0.493	0.051	0.181
1.718	3.881	0.166
3.589	1.605	0.209
0.302	1.859	0.086
1.969	3.224	0.175
0.412	3.226	0.166
1.189	2.707	0.122
2.806	0.571	0.138
3.850	2.192	0.195
2.656	1.701	0.132
3.816	2.563	0.144
3.454	3.797	0.134
0.750	3.214	0.160
