0.687	0.189	0.200
2.735	3.291	0.200
0.763	1.668	0.200
2.158	0.979	0.200
3.354	0.598	0.200
3.180	3.491	0.200
3.871	1.485	0.200
3.779	2.974	0.200
2.983	2.304	0.200
2.561	3.697	0.200
1.994	2.341	0.200
1.298	1.283	0.200
3.725	1.015	0.200
2.424	0.633	0.200
1.213	0.886	0.200
1.246	3.163	0.200
3.110	1.349	0.200
2.669	1.225	0.200
0.932	3.737	0.200
3.551	0.045	0.200
1.793	2.747	0.200
0.471	1.113	0.200
0.356	2.040	0.200
0.025	0.854	0.200
1.770	0.108	0.200
2.368	3.052	0.200
2.572	2.242	0.200
1.178	0.311	0.200
0.491	2.871	0.200
1.521	3.736	0.200
1.379	2.537	0.200
0.088	0.082	0.200
2.050	1.621	0.200
3.001	2.755	0.200
3.710	3.427	0.200
3.391	1.800	0.200
0.049	2.842	0.200
2.873	0.523	0.200
3.941	2.053	0.200
0.396	3.725	0.200
1.465	1.708	0.200
0.519	0.689	0.200
0.716	2.268	0.200
2.153	3.781	0.200
2.026	3.368	0.200
0.784	3.157	0.200
2.196	0.151	0.200
0.046	1.713	0.200
2.768	1.804	0.200
3.829	0.519	0.200
3.000	0.032	0.200
3.688	2.410	0.200
0.141	2.427	0.200
1.663	1.043	0.200
1.887	0.642	0.200
0.261	3.256	0.200
0.984	2.774	0.200
2.936	3.881	0.200
1.550	2.156	0.200
0.078	1.251	0.200
3.710	3.990	0.200
3.418	2.728	0.200
1.676	3.150	0.200
3.377	3.128	0.200
