3.651	2.965	0.249
2.434	2.577	0.228
0.993	1.291	0.216
3.979	2.508	0.212
2.925	1.002	0.220
3.497	1.437	0.096
3.408	2.078	0.141
3.424	0.584	0.189
2.655	3.783	0.106
1.780	3.050	0.248
0.199	2.635	0.289
2.746	1.455	0.122
0.532	0.866	0.107
0.656	0.262	0.234
1.774	0.719	0.151
0.523	1.469	0.251
3.926	0.664	0.195
0.623	3.670	0.223
1.692	1.612	0.152
3.788	3.369	0.146
1.649	2.227	0.173
1.014	2.662	0.175
0.169	2.029	0.287
1.202	3.587	0.170
2.319	0.549	0.210
3.713	0.048	0.157
3.787	1.443	0.139
1.065	1.901	0.296
2.827	3.459	0.231
0.131	0.660	0.192
1.684	1.188	0.261
2.869	2.501	0.165
1.171	3.184	0.184
3.417	3.567	0.202
0.029	3.781	0.179
2.332	3.246	0.307
1.980	1.852	0.156
