641.879	0.0070819		641.879	4.19E+14
644.579	0.00701732		644.579	4.26E+14
647.28	0.00695229		647.28	4.14E+14
649.98	0.00688693		649.98	4.01E+14
652.681	0.00682077		652.681	4.20E+14
655.382	0.00675429		655.382	3.83E+14
658.082	0.0066874		658.082	4.16E+14
660.783	0.00662015		660.783	4.20E+14
663.483	0.00655258		663.483	4.19E+14
666.184	0.00648457		666.184	4.30E+14
668.885	0.00641646		668.885	4.38E+14
671.585	0.00634785		671.585	4.29E+14
674.286	0.00627923		674.286	4.30E+14
676.986	0.00621033		676.986	4.31E+14
679.687	0.00614126		679.687	4.32E+14
682.387	0.00607214		682.387	4.33E+14
685.088	0.00600283		685.088	4.30E+14
687.789	0.00593355		687.789	3.39E+14
690.489	0.00586425		690.489	3.82E+14
693.19	0.00579488		693.19	3.97E+14
695.89	0.00572565		695.89	4.02E+14
698.591	0.00565645		698.591	4.14E+14
701.292	0.00558727		701.292	4.04E+14
703.992	0.00551841		703.992	4.20E+14
706.693	0.00544962		706.693	4.22E+14
709.393	0.00538111		709.393	4.25E+14
712.094	0.00531288		712.094	4.24E+14
714.795	0.00524493		714.795	4.12E+14
717.495	0.00517723		717.495	3.49E+14
720.196	0.00510996		720.196	3.31E+14
722.896	0.00504304		722.896	3.83E+14
725.597	0.00497641		725.597	3.54E+14
728.297	0.00491029		728.297	3.44E+14
730.998	0.00484455		730.998	3.59E+14
733.699	0.00477934		733.699	4.12E+14
736.399	0.00471487		736.399	4.05E+14
739.1	0.00465069		739.1	4.03E+14
741.8	0.00458712		741.8	4.12E+14
744.501	0.00452404		744.501	4.27E+14
747.202	0.0044617		747.202	4.27E+14
749.902	0.00439989		749.902	4.25E+14
752.603	0.00433875		752.603	4.24E+14
755.303	0.00427831		755.303	4.28E+14
758.004	0.00421852		758.004	4.29E+14
760.705	0.00415936		760.705	2.20E+13
763.405	0.00410087		763.405	1.37E+14
766.106	0.00404323		766.106	2.95E+14
768.806	0.00398633		768.806	4.00E+14
771.507	0.00392987		771.507	4.17E+14
774.207	0.00387442		774.207	4.20E+14
776.908	0.00381982		776.908	4.20E+14
779.609	0.00376582		779.609	4.21E+14
782.309	0.00371261		782.309	4.21E+14
785.01	0.00366029		785.01	4.20E+14
787.71	0.00360868		787.71	4.12E+14
790.411	0.00355793		790.411	4.00E+14
793.112	0.00350799		793.112	3.99E+14
795.812	0.00345868		795.812	3.96E+14
798.513	0.00341035		798.513	4.08E+14
801.213	0.00336291		801.213	4.04E+14
803.914	0.00331603		803.914	4.02E+14
806.614	0.00327027		806.614	4.09E+14
809.315	0.00322511		809.315	3.95E+14
