2.731	2.939	0.303
2.333	0.960	0.185
0.136	0.294	0.218
2.680	1.413	0.182
1.219	2.146	0.178
3.096	3.776	0.284
1.254	3.429	0.161
3.267	3.135	0.227
1.979	2.548	0.191
0.929	0.279	0.129
0.665	3.910	0.170
2.527	0.422	0.188
3.856	0.752	0.217
3.025	2.236	0.192
2.359	1.883	0.211
0.882	0.968	0.229
1.580	0.009	0.144
0.672	1.872	0.211
0.725	2.409	0.059
3.850	1.465	0.202
0.290	3.349	0.137
2.167	3.666	0.251
0.739	3.034	0.217
0.081	1.634	0.120
1.294	0.369	0.230
3.220	1.004	0.223
3.872	2.169	0.215
1.067	2.712	0.169
3.343	1.786	0.261
2.811	1.833	0.175
1.711	2.024	0.136
3.141	0.099	0.217
1.399	1.300	0.163
0.032	3.961	0.212
0.184	2.350	0.289
2.125	3.030	0.230
1.558	3.808	0.161
3.516	2.481	0.172
